"id","login","pressed_key","time_hold","time_to_next"
"40307","Kinga","32","48.0","96"
"40308","Kinga","68","48.0","184"
"40309","Kinga","65","137","45"
"40310","Kinga","76","50.0","63"
"40311","Kinga","69","57.0","104"
"40312","Kinga","190","121","144"
"40313","Kinga","32","79.0","272"
"40314","Kinga","72","112","49"
"40315","Kinga","69","55.0","68"
"40316","Kinga","32","84.0","256"
"40317","Kinga","70","24.0","24"
"40318","Kinga","73","80.0","257"
"40319","Kinga","71","79.0","72"
"40320","Kinga","85","88.0","185"
"40321","Kinga","82","31.0","31"
"40322","Kinga","69","103","393"
"40323","Kinga","68","95.0","193"
"40324","Kinga","32","71.0","192"
"40325","Kinga","65","120","104"
"40326","Kinga","32","72.0","384"
"40327","Kinga","70","48.0","256"
"40328","Kinga","69","161","63"
"40329","Kinga","87","120","72"
"40330","Kinga","32","56.0","64"
"40331","Kinga","83","104","120"
"40332","Kinga","84","80.0","321"
"40333","Kinga","67","119","328"
"40334","Kinga","77","104","176"
"40335","Kinga","75","88.0","137"
"40336","Kinga","32","87.0","168"
"40337","Kinga","79","80.0","144"
"40338","Kinga","85","88.0","689"
"40339","Kinga","70","71.0","137"
"40340","Kinga","32","103","496"
"40341","Kinga","68","32.0","32"
"40342","Kinga","73","104","80"
"40343","Kinga","78","80.0","63"
"40344","Kinga","65","65.0","53"
"40345","Kinga","77","83.0","56"
"40346","Kinga","73","136","54"
"40347","Kinga","84","130","34"
"40348","Kinga","69","70.0","49"
"40349","Kinga","32","79.0","240"
"40350","Kinga","87","16.0","16"
"40351","Kinga","69","128","128"
"40352","Kinga","82","120","64"
"40353","Kinga","69","104","80"
"40354","Kinga","32","88.0","176"
"40355","Kinga","87","160","61"
"40356","Kinga","69","139","136"
"40357","Kinga","82","128","104"
"40358","Kinga","69","104","72"
"40359","Kinga","32","104","176"
"40360","Kinga","65","152","377"
"40361","Kinga","69","95.0","128"
"40362","Kinga","65","136","120"
"40363","Kinga","83","16.0","16"
"40364","Kinga","73","128","72"
"40365","Kinga","69","80.0","176"
"40366","Kinga","82","48.0","48"
"40367","Kinga","32","100","124"
"40368","Kinga","72","96.0","48"
"40369","Kinga","65","120","128"
"40370","Kinga","84","88.0","96"
"40371","Kinga","78","80.0","129"
"40372","Kinga","32","95.0","160"
"40373","Kinga","70","16.0","16"
"40374","Kinga","73","112","56"
"40375","Kinga","83","120","55"
"40376","Kinga","72","81.0","56"
"40377","Kinga","73","120","60"
"40378","Kinga","78","84.0","88"
"40379","Kinga","70","88.0","80"
"40380","Kinga","32","80.0","144"
"40381","Kinga","65","72.0","272"
"40382","Kinga","187","112","336"
"40383","Kinga","80","16.0","16"
"40384","Kinga","79","112","256"
"40385","Kinga","76","104","51"
"40386","Kinga","69","53.0","161"
"40387","Kinga","32","103","656"
"40388","Kinga","84","128","40"
"40389","Kinga","79","79.0","89"
"40390","Kinga","32","79.0","36"
"40391","Kinga","67","100","256"
"40392","Kinga","84","97.0","232"
"40393","Kinga","67","120","60"
"40394","Kinga","72","19.0","153"
"40395","Kinga","32","87.0","449"
"40396","Kinga","8","56.0","104"
"40397","Kinga","8","32.0","120"
"40398","Kinga","8","40.0","103"
"40399","Kinga","8","64.0","37"
"40400","Kinga","65","84.0","296"
"40401","Kinga","84","72.0","264"
"40402","Kinga","67","64.0","64"
"40403","Kinga","72","122","134"
"40404","Kinga","32","87.0","817"
"40405","Kinga","71","88.0","136"
"40406","Kinga","73","111","113"
"40407","Kinga","83","40.0","232"
"40408","Kinga","8","48.0","112"
"40409","Kinga","8","40.0","111"
"40410","Kinga","8","40.0","40"
"40411","Kinga","70","136","72"
"40412","Kinga","73","73.0","127"
"40413","Kinga","83","88.0","177"
"40414","Kinga","84","56.0","481"
"40415","Kinga","8","79.0","216"
"40416","Kinga","72","47.0","72"
"40417","Kinga","190","56.0","0"
"40418","Kinga","16","24.0","24"
"40419","Kinga","75","88.0","96"
"40420","Kinga","73","64.0","104"
"40421","Kinga","78","64.0","128"
"40422","Kinga","71","32.0","32"
"40423","Kinga","65","64.0","143"
"40424","Kinga","9","105","768"
"40425","Kinga","16","24.0","24"
"40426","Kinga","77","136","0"
"40427","Kinga","79","119","64"
"40428","Kinga","84","97.0","72"
"40429","Kinga","72","56.0","32"
"40430","Kinga","69","128","16"
"40431","Kinga","82","104","128"
"40432","Kinga","83","128","80"
"40433","Kinga","32","55.0","136"
"40434","Kinga","83","96.0","48"
"40435","Kinga","80","81.0","16"
"40436","Kinga","69","96.0","120"
"40437","Kinga","78","40.0","72"
"40438","Kinga","68","112","56"
"40439","Kinga","32","32.0","104"
"40440","Kinga","77","112","0"
"40441","Kinga","79","112","400"
"40442","Kinga","78","72.0","128"
"40443","Kinga","84","64.0","80"
"40444","Kinga","72","88.0","80"
"40445","Kinga","83","96.0","56"
"40446","Kinga","32","48.0","127"
"40447","Kinga","79","104","313"
"40448","Kinga","70","40.0","240"
"40449","Kinga","32","55.0","49"
"40450","Kinga","84","72.0","32"
"40451","Kinga","72","80.0","9"
"40452","Kinga","69","166","72"
"40453","Kinga","73","16.0","16"
"40454","Kinga","82","121","120"
"40455","Kinga","32","79.0","113"
"40456","Kinga","76","80.0","80"
"40457","Kinga","73","96.0","96"
"40458","Kinga","86","120","104"
"40459","Kinga","69","143","8"
"40460","Kinga","82","97.0","296"
"40461","Kinga","8","72.0","80"
"40462","Kinga","83","64.0","240"
"40463","Kinga","87","152","87"
"40464","Kinga","65","105","368"
"40465","Kinga","73","80.0","264"
"40466","Kinga","73","104","152"
"40467","Kinga","78","24.0","127"
"40468","Kinga","71","89.0","24"
"40469","Kinga","32","87.0","257"
"40470","Kinga","79","88.0","112"
"40471","Kinga","78","64.0","96"
"40472","Kinga","32","79.0","113"
"40473","Kinga","84","8.00","8"
"40474","Kinga","72","87.0","8"
"40475","Kinga","69","153","9"
"40476","Kinga","73","71.0","80"
"40477","Kinga","82","96.0","104"
"40478","Kinga","32","63.0","177"
"40479","Kinga","67","32.0","32"
"40480","Kinga","72","72.0","104"
"40481","Kinga","73","88.0","143"
"40482","Kinga","76","81.0","64"
"40483","Kinga","68","72.0","136"
"40484","Kinga","69","96.0","16"
"40485","Kinga","82","128","48"
"40486","Kinga","69","136","224"
"40487","Kinga","78","87.0","369"
"40488","Kinga","32","79.0","161"
"40489","Kinga","84","88.0","264"
"40490","Kinga","72","80.0","55"
"40491","Kinga","69","104","56"
"40492","Kinga","32","89.0","362"
"40493","Kinga","70","30.0","30"
"40494","Kinga","68","55.0","23"
"40495","Kinga","76","88.0","112"
"40496","Kinga","65","120","239"
"40497","Kinga","67","89.0","17"
"40498","Kinga","73","87.0","32"
"40499","Kinga","69","88.0","105"
"40500","Kinga","82","55.0","13"
"40501","Kinga","32","59.0","121"
"40502","Kinga","67","95.0","169"
